Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
2,11,4,987,3600
2,11,5,988,3600
2,11,6,989,3600
2,11,7,990,3600
2,11,8,991,3600
2,11,9,992,3600
2,11,10,993,3600
2,11,11,994,3600
2,11,12,995,3600
2,11,13,996,3600
2,11,14,997,3600
2,11,15,998,3600
2,11,16,999,3600
2,11,17,1000,3600
2,11,18,1001,3600
2,11,19,1002,3600
2,11,20,1003,3600
2,11,21,1004,3600
2,11,22,1005,3600
2,11,23,1006,3600
2,11,24,1007,3600
2,12,1,1008,3600
2,12,2,1009,3600
2,12,3,1010,3600
2,12,4,1011,3600
2,12,5,1012,3600
2,12,6,1013,3600
2,12,7,1014,3600
2,12,8,1015,3600
2,12,9,1016,3600
2,12,10,1017,3600
2,12,11,1018,3600
2,12,12,1019,3600
2,12,13,1020,3600
2,12,14,1021,3600
2,12,15,1022,3600
2,12,16,1023,3600
2,12,17,1024,3600
2,12,18,1025,3600
2,12,19,1026,3600
2,12,20,1027,3600
2,12,21,1028,3600
2,12,22,1029,3600
2,12,23,1030,3600
2,12,24,1031,3600
2,13,1,1032,3600
2,13,2,1033,3600
2,13,3,1034,3600
2,13,4,1035,3600
2,13,5,1036,3600
2,13,6,1037,3600
2,13,7,1038,3600
2,13,8,1039,3600
2,13,9,1040,3600
2,13,10,1041,3600
2,13,11,1042,3600
2,13,12,1043,3600
2,13,13,1044,3600
2,13,14,1045,3600
2,13,15,1046,3600
2,13,16,1047,3600
2,13,17,1048,3600
2,13,18,1049,3600
2,13,19,1050,3600
2,13,20,1051,3600
2,13,21,1052,3600
2,13,22,1053,3600
2,13,23,1054,3600
2,13,24,1055,3600
2,14,1,1056,3600
2,14,2,1057,3600
2,14,3,1058,3600
2,14,4,1059,3600
2,14,5,1060,3600
2,14,6,1061,3600
2,14,7,1062,3600
2,14,8,1063,3600
2,14,9,1064,3600
2,14,10,1065,3600
2,14,11,1066,3600
2,14,12,1067,3600
2,14,13,1068,3600
2,14,14,1069,3600
2,14,15,1070,3600
2,14,16,1071,3600
2,14,17,1072,3600
2,14,18,1073,3600
2,14,19,1074,3600
2,14,20,1075,3600
2,14,21,1076,3600
2,14,22,1077,3600
2,14,23,1078,3600
2,14,24,1079,3600
2,15,1,1080,3600
2,15,2,1081,3600
2,15,3,1082,3600
2,15,4,1083,3600
2,15,5,1084,3600
2,15,6,1085,3600
2,15,7,1086,3600
2,15,8,1087,3600
2,15,9,1088,3600
2,15,10,1089,3600
2,15,11,1090,3600
2,15,12,1091,3600
2,15,13,1092,3600
2,15,14,1093,3600
2,15,15,1094,3600
2,15,16,1095,3600
2,15,17,1096,3600
2,15,18,1097,3600
2,15,19,1098,3600
2,15,20,1099,3600
2,15,21,1100,3600
2,15,22,1101,3600
2,15,23,1102,3600
2,15,24,1103,3600
2,16,1,1104,3600
2,16,2,1105,3600
2,16,3,1106,3600
2,16,4,1107,3600
2,16,5,1108,3600
2,16,6,1109,3600
2,16,7,1110,3600
2,16,8,1111,3600
2,16,9,1112,3600
2,16,10,1113,3600
2,16,11,1114,3600
2,16,12,1115,3600
2,16,13,1116,3600
2,16,14,1117,3600
2,16,15,1118,3600
2,16,16,1119,3600
2,16,17,1120,3600
2,16,18,1121,3600
2,16,19,1122,3600
2,16,20,1123,3600
2,16,21,1124,3600
2,16,22,1125,3600
2,16,23,1126,3600
2,16,24,1127,3600
2,17,1,1128,3600
2,17,2,1129,3600
2,17,3,1130,3600
2,17,4,1131,3600
2,17,5,1132,3600
2,17,6,1133,3600
2,17,7,1134,3600
2,17,8,1135,3600
2,17,9,1136,3600
2,17,10,1137,3600
2,17,11,1138,3600
2,17,12,1139,3600
2,17,13,1140,3600
2,17,14,1141,3600
2,17,15,1142,3600
2,17,16,1143,3600
2,17,17,1144,3600
2,17,18,1145,3600
2,17,19,1146,3600
2,17,20,1147,3600
2,17,21,1148,3600
2,17,22,1149,3600
2,17,23,1150,3600
2,17,24,1151,3600
2,18,1,1152,3600
2,18,2,1153,3600
2,18,3,1154,3600
2,18,4,1155,3600
2,18,5,1156,3600
2,18,6,1157,3600
2,18,7,1158,3600
2,18,8,1159,3600
2,18,9,1160,3600
2,18,10,1161,3600
2,18,11,1162,3600
2,18,12,1163,3600
2,18,13,1164,3600
2,18,14,1165,3600
2,18,15,1166,3600
2,18,16,1167,3600
2,18,17,1168,3600
2,18,18,1169,3600
2,18,19,1170,3600
2,18,20,1171,3600
2,18,21,1172,3600
2,18,22,1173,3600
2,18,23,1174,3600
2,18,24,1175,3600
2,19,1,1176,3600
2,19,2,1177,3600
2,19,3,1178,3600
2,19,4,1179,3600
2,19,5,1180,3600
2,19,6,1181,3600
2,19,7,1182,3600
2,19,8,1183,3600
2,19,9,1184,3600
2,19,10,1185,3600
2,19,11,1186,3600
2,19,12,1187,3600
2,19,13,1188,3600
2,19,14,1189,3600
2,19,15,1190,3600
2,19,16,1191,3600
2,19,17,1192,3600
2,19,18,1193,3600
2,19,19,1194,3600
2,19,20,1195,3600
2,19,21,1196,3600
2,19,22,1197,3600
2,19,23,1198,3600
2,19,24,1199,3600
2,20,1,1200,3600
2,20,2,1201,3600
2,20,3,1202,3600
2,20,4,1203,3600
2,20,5,1204,3600
2,20,6,1205,3600
2,20,7,1206,3600
2,20,8,1207,3600
2,20,9,1208,3600
2,20,10,1209,3600
2,20,11,1210,3600
2,20,12,1211,3600
2,20,13,1212,3600
2,20,14,1213,3600
2,20,15,1214,3600
2,20,16,1215,3600
2,20,17,1216,3600
2,20,18,1217,3600
2,20,19,1218,3600
2,20,20,1219,3600
2,20,21,1220,3600
2,20,22,1221,3600
2,20,23,1222,3600
2,20,24,1223,3600
2,21,1,1224,3600
2,21,2,1225,3600
2,21,3,1226,3600
2,21,4,1227,3600
2,21,5,1228,3600
2,21,6,1229,3600
2,21,7,1230,3600
2,21,8,1231,3600
2,21,9,1232,3600
2,21,10,1233,3600
2,21,11,1234,3600
2,21,12,1235,3600
2,21,13,1236,3600
